English,Compound,"Izaki Reading
(sandhi applied)"
peace of mind,安寧,annei
security,安保,#ERROR!
Proportionate,案分,#ERROR!
mental arithmetic,暗算,#ERROR!
Anzan,安山,ansan
Easy delivery,安産,#ERROR!
#ERROR!,暗色,#ERROR!
dark purple,暗紫,#ERROR!
#ERROR!,安心,#ERROR!
darkroom,暗室,#ERROR!
#ERROR!,案出,#ERROR!
Stability,安定,#ERROR!
#ERROR!,暗礁,#ERROR!
#ERROR!,暗転,#ERROR!
secret struggle,暗闘,#ERROR!
#ERROR!,安位,#ERROR!
#ERROR!,暗示,#ERROR!
safety,安危,#ERROR!
#ERROR!,暗喩,#ERROR!
#ERROR!,暗渠,#ERROR!
#ERROR!,暗譜,#ERROR!
#ERROR!,暗躍,#ERROR!
Subculture,亜流,#ERROR!
Demi-Saint,亜聖,asei
#ERROR!,亜種,#ERROR!
flax,亜麻,#ERROR!
stick size,棒大,#ERROR!
bulletproof,防弾,#ERROR!
protection,防護,#ERROR!
#ERROR!,防具,#ERROR!
deceased friend,亡友,#ERROR!
#ERROR!,坊官,#ERROR!
Tide barrier,防潮,#ERROR!
#ERROR!,亡國,#ERROR!
#ERROR!,亡君,#ERROR!
#ERROR!,亡母,#ERROR!
Soundproofing,防音,bānnon
Barrier,防壁,#ERROR!
late husband,亡夫,#ERROR!
#ERROR!,亡父,#ERROR!
#ERROR!,防風,#ERROR!
#ERROR!,防砂,#ERROR!
#ERROR!,棒線,#ERROR!
Resist dyeing,防染,#ERROR!
snow protection,防雪,#ERROR!
deceased,亡者,#ERROR!
Loss,亡失,#ERROR!
moisture-proof,防湿,#ERROR!
monk,坊主,pānshu
#ERROR!,防毒,bāntoku
#ERROR!,亡妻,mānsai
#ERROR!,防止,#ERROR!
#ERROR!,防暑,#ERROR!
#ERROR!,防長,#ERROR!
#ERROR!,防戦,#ERROR!
#ERROR!,防除,bāntso
#ERROR!,棒術,#ERROR!
anticommunist,防共,bānkyō
#ERROR!,防塁,#ERROR!
#ERROR!,防塞,#ERROR!
#ERROR!,防塵,#ERROR!
Flame retardant,防炎,#ERROR!
#ERROR!,防疫,#ERROR!
#ERROR!,防臭,#ERROR!
#ERROR!,防虫,#ERROR!
defense,防衛,bānnwei
counterintelligence,防諜,#ERROR!
#ERROR!,亡魂,mānhon
horse ears,馬耳,#ERROR!
#ERROR!,覇道,#ERROR!
#ERROR!,馬上,#ERROR!
#ERROR!,馬前,maðen
#ERROR!,馬具,#ERROR!
herd of horses,馬群,#ERROR!
#ERROR!,売買,#ERROR!
prostitution,売買春,#ERROR!
#ERROR!,買弁,maibyen
#ERROR!,倍額,#ERROR!
#ERROR!,売約,#ERROR!
#ERROR!,売薬,#ERROR!
#ERROR!,倍加,#ERROR!
#ERROR!,売価,#ERROR!
#ERROR!,売官,#ERROR!
#ERROR!,買官,#ERROR!
selling blood,売血,#ERROR!
selling country,売國,#ERROR!
viewing,陪觀,#ERROR!
#ERROR!,売名,#ERROR!
#ERROR!,売文,#ERROR!
#ERROR!,梅肉,mainuku
#ERROR!,倍音,#ERROR!
For sale,売品,#ERROR!
#ERROR!,梅林,mairin
#ERROR!,倍量,#ERROR!
#ERROR!,倍率,#ERROR!
#ERROR!,陪席,#ERROR!
#ERROR!,倍数,#ERROR!
jury,陪審,#ERROR!
#ERROR!,媒質,#ERROR!
#ERROR!,買春,#ERROR!
jury,陪審,#ERROR!
accompanying,陪乗,#ERROR!
#ERROR!,売人,#ERROR!
#ERROR!,陪臣,#ERROR!
fortune telling,売卜,#ERROR!
#ERROR!,媒酌,#ERROR!
#ERROR!,馬鹿,#ERROR!
ambition,覇気,#ERROR!
horse legs,馬脚,makyaku
#ERROR!,馬耕,#ERROR!
#ERROR!,覇権,#ERROR!
betting tickets,馬券,#ERROR!
#ERROR!,馬力,mariki
#ERROR!,晩夏,#ERROR!
#ERROR!,番兵,pampīn
#ERROR!,番号,#ERROR!
#ERROR!,番役,#ERROR!
watchdog,番犬,#ERROR!
Late season,晩期,#ERROR!
#ERROR!,範形,#ERROR!
#ERROR!,晩婚,#ERROR!
paradigm,範例,#ERROR!
#ERROR!,番茶,#ERROR!
Late birth,晩産,bansan
Late bloomer,晩成,#ERROR!
#ERROR!,晩生,#ERROR!
Track number,番線,pansen
#ERROR!,晩節,#ERROR!
Guards,番士,#ERROR!
#ERROR!,範士,#ERROR!
late spring,晩春,#ERROR!
#ERROR!,晩唐,#ERROR!
#ERROR!,番長,#ERROR!
#ERROR!,番頭,#ERROR!
horsemeat,馬肉,#ERROR!
#ERROR!,番外,#ERROR!
Banjo,番匠,#ERROR!
#ERROR!,範囲,#ERROR!
Dinner,晩飯,#ERROR!
#ERROR!,範疇,#ERROR!
#ERROR!,番組,#ERROR!
evening drink,晩酌,#ERROR!
#ERROR!,晩鐘,#ERROR!
#ERROR!,晩霜,#ERROR!
#ERROR!,覇府,#ERROR!
#ERROR!,馬料,#ERROR!
#ERROR!,抜刀,#ERROR!
#ERROR!,抜歯,#ERROR!
#ERROR!,抜糸,#ERROR!
Conqueror,覇者,#ERROR!
#ERROR!,馬主,#ERROR!
horse neck,馬首,#ERROR!
Horse body,馬体,matai
#ERROR!,馬丁,#ERROR!
#ERROR!,馬頭,#ERROR!
Overlord,覇王,#ERROR!
horse bandit,馬賊,#ERROR!
#ERROR!,馬術,#ERROR!
#ERROR!,馬匹,#ERROR!
#ERROR!,馬楝,#ERROR!
Horse manure,馬糞,#ERROR!
#ERROR!,馬謖,#ERROR!
horseshoe,馬蹄,#ERROR!
horse bell,馬鈴,#ERROR!
#ERROR!,馬齢,marēn
#ERROR!,便座,bīnjwa
#ERROR!,便衣,bīnni
#ERROR!,便利,#ERROR!
expedient,便法,#ERROR!
#ERROR!,便船,bīnsen
#ERROR!,便通,bīntsōn
bowel movements,便意,#ERROR!
#ERROR!,美大,#ERROR!
#ERROR!,美談,#ERROR!
#ERROR!,美田,#ERROR!
#ERROR!,美辞,#ERROR!
#ERROR!,微粉,mipun
Facial beauty,美顔,#ERROR!
#ERROR!,微減,#ERROR!
Beautiful technique,美技,migi
#ERROR!,美學,#ERROR!
#ERROR!,美服,#ERROR!
beauty,美容,#ERROR!
#ERROR!,尾翼,#ERROR!
#ERROR!,耳下,#ERROR!
Under the nose,鼻下,#ERROR!
sense of beauty,美感,mikan
#ERROR!,微官,#ERROR!
beautiful school,美校,#ERROR!
#ERROR!,美形,#ERROR!
#ERROR!,美化,#ERROR!
Beauty view,美觀,#ERROR!
#ERROR!,微光,#ERROR!
#ERROR!,備忘,#ERROR!
#ERROR!,美名,#ERROR!
attention,耳目,#ERROR!
#ERROR!,美文,#ERROR!
#ERROR!,美音,#ERROR!
low temperature,微温,mion
nasal,鼻音,#ERROR!
#ERROR!,備品,bipin
#ERROR!,美白,#ERROR!
#ERROR!,美本,#ERROR!
#ERROR!,美風,#ERROR!
#ERROR!,微分,mipun
Beautiful,美麗,#ERROR!
Weak power,微力,#ERROR!
#ERROR!,美林,#ERROR!
#ERROR!,美声,#ERROR!
Beautiful clothing,美装,misō
ear order,耳順,#ERROR!
Beauty,美神,#ERROR!
#ERROR!,美質,mishis
#ERROR!,美食,#ERROR!
#ERROR!,美点,#ERROR!
Bincho,備長,bichān
Beauty and customs,美俗,#ERROR!
#ERROR!,美人,#ERROR!
Good sake,美酒,#ERROR!
art,美術,michus
#ERROR!,微増,#ERROR!
Miki,美姫,#ERROR!
#ERROR!,鼻孔,pikōn
#ERROR!,微弱,#ERROR!
#ERROR!,鼻梁,#ERROR!
auricle,耳殻,#ERROR!
rhinitis,鼻炎,#ERROR!
#ERROR!,美称,#ERROR!
#ERROR!,尾籠,#ERROR!
Minor offenses,微罪,#ERROR!
#ERROR!,鼻腔,#ERROR!
Bisan,備讃,#ERROR!
beauty and ugliness,美醜,#ERROR!
#ERROR!,弁護,byenho
#ERROR!,弁官,#ERROR!
Secretary,弁公,#ERROR!
#ERROR!,弁理,#ERROR!
#ERROR!,弁務,#ERROR!
#ERROR!,弁才,#ERROR!
#ERROR!,弁説,#ERROR!
#ERROR!,弁士,byenshi
Dialectic,弁証,#ERROR!
#ERROR!,弁当,#ERROR!
#ERROR!,弁舌,byenzes
#ERROR!,別封,#ERROR!
#ERROR!,別學,#ERROR!
Separate issue,別号,#ERROR!
#ERROR!,別家,byeska
Special course,別科,byeska
#ERROR!,別巻,byeskwen
#ERROR!,別記,#ERROR!
#ERROR!,別行,#ERROR!
other words,別言,#ERROR!
#ERROR!,別件,#ERROR!
#ERROR!,別館,#ERROR!
#ERROR!,別納,#ERROR!
#ERROR!,別便,#ERROR!
#ERROR!,別表,#ERROR!
#ERROR!,別本,#ERROR!
#ERROR!,別姓,byessei
Separate delivery,別送,#ERROR!
#ERROR!,別紙,byesshi
#ERROR!,別所,#ERROR!
#ERROR!,別宅,byestaku
#ERROR!,別状,#ERROR!
Specially made,別製,byettsei
#ERROR!,別伝,#ERROR!
#ERROR!,別辞,#ERROR!
Separate article,別条,byecchō
#ERROR!,別院,#ERROR!
#ERROR!,別業,byesswya
#ERROR!,別掲,#ERROR!
Separate building,別棟,#ERROR!
#ERROR!,別称,#ERROR!
#ERROR!,別章,#ERROR!
different taste,別趣,#ERROR!
villa,別邸,#ERROR!
sick,病中,byōju
suffering from illness,病苦,#ERROR!
#ERROR!,病因,#ERROR!
#ERROR!,病気,#ERROR!
#ERROR!,病欠,#ERROR!
disease root,病根,#ERROR!
After illness,病後,#ERROR!
#ERROR!,病魔,#ERROR!
Lesion,病変,#ERROR!
#ERROR!,病歴,#ERROR!
pathology,病理,byōri
#ERROR!,病相,#ERROR!
#ERROR!,病舎,#ERROR!
Sick person,病身,#ERROR!
#ERROR!,病質,#ERROR!
#ERROR!,病症,#ERROR!
Pathological condition,病態,#ERROR!
#ERROR!,病毒,byōtoku
Disease progression,病勢,#ERROR!
#ERROR!,病体,#ERROR!
hospital,病院,#ERROR!
sick monk,病僧,#ERROR!
#ERROR!,病巣,#ERROR!
Illness,病弊,#ERROR!
Died of illness,病没,#ERROR!
Disease,病癖,#ERROR!
Bedridden with illness,病臥,#ERROR!
#ERROR!,病菌,#ERROR!
pests,病虫,#ERROR!
disease awareness,病識,#ERROR!
Club fees,部費,#ERROR!
#ERROR!,部下,buka
Department/Section,部課,#ERROR!
#ERROR!,部民,#ERROR!
#ERROR!,部面,bumyen
Department,部門,bumun
#ERROR!,紋服,#ERROR!
tricks,聞略,#ERROR!
#ERROR!,部品,#ERROR!
material things,物上,musði
#ERROR!,仏學,#ERROR!
#ERROR!,仏和,pushwa
French translation,仏訳,#ERROR!
material desires,物欲,musshyoku
#ERROR!,仏画,#ERROR!
#ERROR!,仏教,#ERROR!
French,仏語,#ERROR!
Deceased,物故,#ERROR!
#ERROR!,物権,#ERROR!
Buddhist altar equipment,仏具,pusku
#ERROR!,仏軍,#ERROR!
nirvana,仏果,#ERROR!
#ERROR!,仏光,#ERROR!
#ERROR!,物理,#ERROR!
#ERROR!,物理,#ERROR!
#ERROR!,仏領,#ERROR!
quantity,物量,#ERROR!
Buddhist ties,仏縁,#ERROR!
#ERROR!,仏文,#ERROR!
#ERROR!,仏門,#ERROR!
Payment in kind,物納,#ERROR!
Buddha nature,仏性,#ERROR!
#ERROR!,物性,mussei
#ERROR!,仏説,#ERROR!
Buddhist ancestor,仏祖,#ERROR!
Buddhist memorial service,仏事,puttsi
#ERROR!,仏師,pusshi
Buddhist,仏式,#ERROR!
Buddha and gods,仏神,#ERROR!
fetish,物神,musshin/jin
Buddha's body,仏身,pusshin
#ERROR!,物質,#ERROR!
Buddhist books,仏書,#ERROR!
evidence,物証,#ERROR!
#ERROR!,仏堂,#ERROR!
#ERROR!,仏塔,#ERROR!
enemy of Buddhism,仏敵,#ERROR!
#ERROR!,仏殿,#ERROR!
#ERROR!,仏典,#ERROR!
#ERROR!,仏天,#ERROR!
#ERROR!,仏道,pustō
#ERROR!,物体,mustai
#ERROR!,仏体,pustai
#ERROR!,仏前,#ERROR!
Buddhist temple,仏寺,#ERROR!
material circumstances,物情,#ERROR!
Buddha head,仏頭,#ERROR!
#ERROR!,物議,#ERROR!
#ERROR!,仏僧,#ERROR!
#ERROR!,物象,#ERROR!
#ERROR!,仏人,pusshin
#ERROR!,仏滅,#ERROR!
#ERROR!,仏頂,#ERROR!
#ERROR!,物騒,#ERROR!
#ERROR!,部室,#ERROR!
#ERROR!,部首,#ERROR!
#ERROR!,部隊,#ERROR!
#ERROR!,部長,#ERROR!
Materials,部材,buzai
crowd,部衆,#ERROR!
#ERROR!,部将,#ERROR!
#ERROR!,堂々,#ERROR!
#ERROR!,堂上,#ERROR!
Party dues,党費,#ERROR!
#ERROR!,党利,#ERROR!
Party Strategy,党略,#ERROR!
#ERROR!,党名,tānmei
#ERROR!,堂内,dānnae
#ERROR!,党籍,#ERROR!
#ERROR!,党則,#ERROR!
#ERROR!,堂舎,#ERROR!
Party History,党史,#ERROR!
head of the hall,堂主,#ERROR!
temple tower,堂塔,#ERROR!
#ERROR!,党勢,#ERROR!
#ERROR!,堂宇,dānnu
#ERROR!,党外,#ERROR!
#ERROR!,党議,tānnwi
#ERROR!,党人,#ERROR!
#ERROR!,打電,#ERROR!
#ERROR!,台上,#ERROR!
#ERROR!,台辞,#ERROR!
Under the table,台下,#ERROR!
#ERROR!,台閣,#ERROR!
trapezoid,台形,#ERROR!
pedestal,台盤,#ERROR!
#ERROR!,台風,#ERROR!
#ERROR!,台車,#ERROR!
#ERROR!,台紙,#ERROR!
plateau,台地,taitsi
Hitting,打撃,#ERROR!
#ERROR!,代案,#ERROR!
#ERROR!,大安,#ERROR!
stool,大便,#ERROR!
Large valve,大弁,#ERROR!
serious illness,大病,#ERROR!
#ERROR!,大部,#ERROR!
#ERROR!,代紋,#ERROR!
#ERROR!,大紋,#ERROR!
#ERROR!,代打,#ERROR!
#ERROR!,大度,#ERROR!
Great sword,大刀,daitau
Encyclopedia,大全,#ERROR!
#ERROR!,大行,#ERROR!
#ERROR!,大言,daiyon
Dagu,大愚,#ERROR!
large cup,大杯,daipai
#ERROR!,大學,#ERROR!
#ERROR!,大兵,#ERROR!
#ERROR!,代返,pan
#ERROR!,代休,#ERROR!
big call,大呼,#ERROR!
#ERROR!,代役,#ERROR!
#ERROR!,大役,#ERROR!
#ERROR!,大約,#ERROR!
#ERROR!,大要,#ERROR!
#ERROR!,大洋,daiyān
greed,大欲,#ERROR!
landlord,大家,#ERROR!
Substitute lecturer,代講,#ERROR!
#ERROR!,大覚,#ERROR!
magistrate,代官,#ERROR!
Grand official,大官,#ERROR!
cold weather,大寒,#ERROR!
#ERROR!,大艦,#ERROR!
#ERROR!,大計,#ERROR!
#ERROR!,大慶,#ERROR!
#ERROR!,大検,#ERROR!
#ERROR!,大賢,#ERROR!
Canis Major,大犬座,daikenjwa
atmosphere,大気,daiki
#ERROR!,大器,#ERROR!
rhubarb,大黄,#ERROR!
Daikichi,大吉,#ERROR!
big flag,大旗,#ERROR!
price,代金,#ERROR!
#ERROR!,大魚,#ERROR!
#ERROR!,大型,#ERROR!
Daikyo,大教,daikyau
#ERROR!,大弓,daikūn
Omagari,大曲,#ERROR!
#ERROR!,大極,#ERROR!
#ERROR!,大國,#ERROR!
#ERROR!,大公,#ERROR!
big picture,大局,#ERROR!
#ERROR!,大根,#ERROR!
#ERROR!,大権,#ERROR!
#ERROR!,大区,#ERROR!
#ERROR!,大過,#ERROR!
#ERROR!,大觀,#ERROR!
#ERROR!,大光,#ERROR!
ambition,大望,#ERROR!
#ERROR!,大名,#ERROR!
#ERROR!,大命,#ERROR!
#ERROR!,大喪,#ERROR!
Great tribulation,大難,#ERROR!
#ERROR!,大任,#ERROR!
#ERROR!,大熱,#ERROR!
Assignment,代入,nyun
#ERROR!,大恩,#ERROR!
#ERROR!,大半,#ERROR!
Large Domain,大藩,#ERROR!
Daihachi,大八,#ERROR!
#ERROR!,大変,#ERROR!
great sadness,大悲,#ERROR!
#ERROR!,代筆,#ERROR!
representative,代表,#ERROR!
#ERROR!,大法,#ERROR!
Daifu,大夫,#ERROR!
mayhem,大乱,#ERROR!
Great ceremony,大礼,#ERROR!
substitute,代理,#ERROR!
Great power,大力,dairiki
#ERROR!,大陸,#ERROR!
#ERROR!,大輪,#ERROR!
Great lord,大領,#ERROR!
Outline,大略,dairyaku
#ERROR!,大量,#ERROR!
#ERROR!,大祭,#ERROR!
#ERROR!,代作,#ERROR!
#ERROR!,代参,#ERROR!
#ERROR!,大聖,daisei
#ERROR!,大切,#ERROR!
#ERROR!,大節,#ERROR!
algebra,代数,#ERROR!
#ERROR!,大数,#ERROR!
Collection,大集,#ERROR!
A deep breath,大息,#ERROR!
#ERROR!,大審,#ERROR!
Loaner car,代車,sha
amnesty,大赦,#ERROR!
Daisho,大商,#ERROR!
#ERROR!,大死,#ERROR!
#ERROR!,大使,#ERROR!
#ERROR!,大志,#ERROR!
#ERROR!,大士,#ERROR!
#ERROR!,代診,#ERROR!
#ERROR!,代書,#ERROR!
#ERROR!,大所,daisho
#ERROR!,大書,#ERROR!
big and small,大小,#ERROR!
Osaka Securities Exchange,大証,#ERROR!
#ERROR!,大食,#ERROR!
Omori,大守,#ERROR!
#ERROR!,大典,daityun
#ERROR!,代読,doku
#ERROR!,代地,#ERROR!
#ERROR!,大地,#ERROR!
#ERROR!,大統領,#ERROR!
#ERROR!,大冊,#ERROR!
#ERROR!,大体,#ERROR!
#ERROR!,大戦,daichen
Daichi,大知,#ERROR!
Substitution,代置,chi
#ERROR!,大雲,#ERROR!
#ERROR!,代位,#ERROR!
#ERROR!,大意,#ERROR!
#ERROR!,大域,daiiki
#ERROR!,代議士,#ERROR!
#ERROR!,代議員,#ERROR!
Great work,大業,#ERROR!
#ERROR!,大獄,daikoku
#ERROR!,大賊,#ERROR!
proxy,代人,zhin
#ERROR!,大臣,#ERROR!
#ERROR!,大宗,#ERROR!
the masses,大衆,#ERROR!
#ERROR!,大兄,#ERROR!
Great Circle,大円,daiyen
#ERROR!,大凶,#ERROR!
#ERROR!,大剣,#ERROR!
#ERROR!,大功,#ERROR!
Great experience,大嘗,#ERROR!
#ERROR!,大姉,#ERROR!
#ERROR!,大宰,#ERROR!
#ERROR!,大将,#ERROR!
Great effort,大尽,#ERROR!
Mansion,大廈,#ERROR!
#ERROR!,大弐,#ERROR!
#ERROR!,大慈,#ERROR!
Daiho,大掾,#ERROR!
#ERROR!,大漁,#ERROR!
#ERROR!,大熊座,#ERROR!
Destroyed,大破,#ERROR!
#ERROR!,大笑,#ERROR!
#ERROR!,大罪,#ERROR!
#ERROR!,大膳,#ERROR!
#ERROR!,大荘,daisō
Great book,大著,#ERROR!
#ERROR!,大葬,daisō
#ERROR!,大詔,#ERROR!
#ERROR!,代赭,#ERROR!
Great Encyclopedia,大鑑,#ERROR!
#ERROR!,大鳳,#ERROR!
#ERROR!,打球,#ERROR!
Uchiki,打鬼,#ERROR!
#ERROR!,弾道,#ERROR!
Steps,段上,danði
inheritance,継受,#ERROR!
Warm clothes,暖衣,#ERROR!
actor,男優,#ERROR!
#ERROR!,段階,#ERROR!
#ERROR!,男系,#ERROR!
#ERROR!,弾着,#ERROR!
Warm air,暖気,#ERROR!
#ERROR!,継起,#ERROR!
#ERROR!,断交,#ERROR!
#ERROR!,団交,#ERROR!
#ERROR!,団会,#ERROR!
#ERROR!,暖流,#ERROR!
discourse,談論,#ERROR!
#ERROR!,弾幕,#ERROR!
#ERROR!,断末魔,#ERROR!
weaning,断乳,dannyun
man and woman,男女,nannyo
heating,暖房,#ERROR!
#ERROR!,談判,#ERROR!
bullet fragment,弾片,#ERROR!
idea,断想,dansān
Cutting,断裁,#ERROR!
male,男性,#ERROR!
#ERROR!,弾性,#ERROR!
#ERROR!,暖色,#ERROR!
Disconnection,断線,#ERROR!
#ERROR!,段銭,#ERROR!
#ERROR!,男装,#ERROR!
#ERROR!,継続,#ERROR!
Inheritance,継承,#ERROR!
#ERROR!,断水,dansui
#ERROR!,男子,#ERROR!
#ERROR!,弾正,#ERROR!
#ERROR!,男尊,#ERROR!
decapitation,断首,#ERROR!
#ERROR!,断種,#ERROR!
warm winter,暖冬,#ERROR!
#ERROR!,弾倉,tantsān
warm regions,暖地,#ERROR!
#ERROR!,団体,#ERROR!
#ERROR!,断頭,#ERROR!
hail of bullets,弾雨,tannu
#ERROR!,断雲,#ERROR!
discourse,談話,tanhwa
#ERROR!,段位,#ERROR!
#ERROR!,談義,#ERROR!
#ERROR!,断酒,#ERROR!
#ERROR!,段丘,#ERROR!
#ERROR!,団円,dannyen
#ERROR!,男卑,#ERROR!
#ERROR!,継嗣,#ERROR!
#ERROR!,弾奏,#ERROR!
concubine,男妾,#ERROR!
Male prostitute,男娼,#ERROR!
bullet holes,弾痕,#ERROR!
stele,断碑,#ERROR!
#ERROR!,断章,#ERROR!
aggregates,団粒,#ERROR!
#ERROR!,断腸,#ERROR!
renunciation,断臂,#ERROR!
#ERROR!,断髪,dampas
batting method,打法,#ERROR!
#ERROR!,打率,daryos
#ERROR!,打算,#ERROR!
#ERROR!,打席,#ERROR!
batting lineup,打線,#ERROR!
Detachment,脱着,#ERROR!
#ERROR!,脱臼,#ERROR!
#ERROR!,脱会,#ERROR!
Detachment,脱離,#ERROR!
#ERROR!,脱力,#ERROR!
Wheel derailment,脱輪,#ERROR!
Hats off,脱帽,#ERROR!
#ERROR!,脱農,#ERROR!
#ERROR!,脱藩,#ERROR!
evasion of the law,脱法,#ERROR!
bleaching,脱色,#ERROR!
Desocialization,脱俗,#ERROR!
#ERROR!,脱出,#ERROR!
#ERROR!,脱党,#ERROR!
#ERROR!,脱字,#ERROR!
#ERROR!,打数,dasū
#ERROR!,打順,#ERROR!
#ERROR!,脱獄,taskoku
#ERROR!,脱ぐ,#ERROR!
#ERROR!,脱塩,#ERROR!
#ERROR!,脱漏,#ERROR!
#ERROR!,脱硫,#ERROR!
Withdrawal from manuscript,脱稿,#ERROR!
threshing,脱穀,#ERROR!
#ERROR!,脱糞,#ERROR!
Deodorization,脱臭,#ERROR!
batter,打者,#ERROR!
#ERROR!,打消,#ERROR!
#ERROR!,打点,#ERROR!
#ERROR!,脱脂,tacchi
Hammered,打製,#ERROR!
strike,打つ,#ERROR!
#ERROR!,打刻,#ERROR!
Uchiza,打坐,#ERROR!
#ERROR!,打突,#ERROR!
#ERROR!,殿上,#ERROR!
in the palace,殿中,#ERROR!
palace,殿舎,#ERROR!
#ERROR!,殿試,#ERROR!
#ERROR!,拙訳,#ERROR!
#ERROR!,拙文,#ERROR!
#ERROR!,拙論,#ERROR!
#ERROR!,拙作,#ERROR!
#ERROR!,拙速,sossoku
#ERROR!,拙宅,#ERROR!
unskillful,拙劣,#ERROR!
#ERROR!,電ās,#ERROR!
electrolytic,電解,#ERROR!
#ERROR!,電界,dyenkai
Electric appliances,電器,#ERROR!
electricity,電気,dyenki
Electrocommunications Engineering,電気通信學,#ERROR!
#ERROR!,電極,#ERROR!
#ERROR!,電球,#ERROR!
ionization,電離,#ERROR!
Denliki,電liki,#ERROR!
#ERROR!,電令,#ERROR!
#ERROR!,電流,#ERROR!
#ERROR!,電路,#ERROR!
Telegram,電文,#ERROR!
#ERROR!,電熱,#ERROR!
#ERROR!,電波,#ERROR!
#ERROR!,電報,#ERROR!
#ERROR!,電産,#ERROR!
#ERROR!,電算,#ERROR!
#ERROR!,電送,dyensō
#ERROR!,電装,#ERROR!
train,電車,#ERROR!
#ERROR!,電子,#ERROR!
electric vision,電視,#ERROR!
#ERROR!,電信,#ERROR!
#ERROR!,電探,#ERROR!
#ERROR!,電蓄,#ERROR!
#ERROR!,電池,dyentsi
phone,電話,dyenhwa
#ERROR!,電源,#ERROR!
electric light,電灯,dyentēn
#ERROR!,電荷,#ERROR!
#ERROR!,電飾,#ERROR!
#ERROR!,同,#ERROR!
#ERROR!,同案,#ERROR!
#ERROR!,同病,#ERROR!
same party,同党,#ERROR!
Same university,同大,#ERROR!
#ERROR!,同断,#ERROR!
#ERROR!,道断,#ERROR!
conductive,導電,#ERROR!
Same road,同道,#ERROR!
#ERROR!,道場,dōjō
#ERROR!,同字,#ERROR!
#ERROR!,同寺,#ERROR!
#ERROR!,同情,#ERROR!
