"English","Compound","B1","B2","B3","B4","B5","L1","L2","L3","L4","L5","Izaki Reading","Izaki Reading","Reading
(obsolete)"
"love and regret","??","?","?","","","","ai","seku","","","","aiseku","aiseku","ai?"
"Admiration","??","?","?","","","","ai","bo","","","","aibo","aibo","ai?"
"Love and hate","??","?","?","","","","ai","z?n","","","","aiz?n","aiz?n","ai?"
"Heavy smoker","??","?","?","","","","ai","yen","","","","aiyen","aiyen","aio?n"
"love cat","??","?","?","","","","ai","by?","","","","aiby?","aiby?","ai?"
"pet","??","?","?","","","","ai","wan","","","","aiwan","aiwan","ai?"
"recitation","??","?","?","","","","ai","","","","","ai","ai","ai?"
"Loving hometown","??","?","?","","","","ai","ky?n","","","","aiky?n","aiky?n","aikja?n"
"subfamily","??","?","?","","","","a","ka","","","","aka","aka","aka"
"Subtype","??","?","?","","","","a","hy?","","","","ahy?","ahy?","akjo?"
"bad feeling","??","?","?","","","","aku","kan","","","","akukan","akkkan","akkan"
"deterioration","??","?","?","","","","aku","kwa","","","","akukwa","akkkwa","akkwa"
"bad results","??","?","?","","","","aku","ka","","","","akuka","akkka","akkwa"
"Evil disease","??","?","?","","","","aku","by?","","","","akuby?","akuby?","akubjo?"
"evil road","??","?","?","","","","aku","d?","","","","akud?","akud?","akudo?"
"bad friends","??","?","?","","","","aku","y?","","","","akuy?","akuy?","akuju?"
"treason","??","?","?","","","","aku","gyoku","","","","akugyoku","akugyoku","akukjaku"
"bad money","??","?","?","","","","aku","kwa","","","","akukwa","akkkwa","akukwa"
"demon","??","?","?","","","","aku","kwi","","","","akukwi","akkkwi","akukwi"
"bad writing","??","?","?","","","","aku","mun","","","","akumun","akumun","akumun"
"villain","??","?","?","","","","aku","nyo","","","","akunyo","akunyo","akuno"
"Bad handwriting","??","?","?","","","","aku","bis","","","","akubis","akubis","akupis"
"Bad law","??","?","?","","","","aku","h?/h?","","","","akuh?/h?","akuh?/h?","akupo?"
"Bad wind","??","?","?","","","","aku","p?n","","","","akup?n","akup?n","akupu?n"
"evil spirits","??","?","?","","","","aku","rei/ry?n","","","","akurei/ry?n","akurei/ry?n","akurei"
"Grip strength","??","?","?","","","","aku","riki/r?","","","","akuriki/r?","akuriki/r?","akuriki"
"Bad relationship","??","?","?","","","","aku","en","","","","akuen","akuen","akurjuku"
"Rough roads","??","?","?","","","","aku","ro","","","","akuro","akuro","akuro"
"Bad government","??","?","?","","","","aku","sei","","","","akusei","akusei","akusei"
"bad voice","??","?","?","","","","aku","shei","","","","akushei","akushei","akusei"
"Ill-gotten gain","??","?","?","","","","aku","tsen","","","","akutsen","akutsen","akusen"
"bad habit","??","?","?","","","","aku","s?i","","","","akus?i","akus?i","akusu?"
"Evil god","??","?","?","","","","aku","shin/jin","","","","akushin/jin","akushin/jin","aku?in"
"bad place","??","?","?","","","","aku","sho","","","","akusho","akusho","aku?o"
"bad weather","??","?","?","","","","aku","tyen","","","","akutyen","akutyen","akutjen"
"bad wife","??","?","?","","","","aku","sai","","","","akusai","akusai","aku?ei"
"bad luck","??","?","?","","","","aku","un","","","","akuun","akuun","akuun"
"evil deeds","??","?","?","","","","aku","wya","","","","akuwya","akuwya","akuwja"
"dissolute priest","??","?","?","","","","aku","s?n","","","","akus?n","akus?n","akuzo?"
"evil minister","??","?","?","","","","aku","jin","","","","akujin","akujin","aku?in"
"bad","??","?","?","","","","aku","","","","","aku","aku","aku?"
"wicked woman","??","?","?","","","","aku","pa","","","","akupa","akupa","aku?"
"evil","??","?","?","","","","aku","hei","","","","akuhei","akuhei","aku?"
"villain","??","?","?","","","","aku","kan","","","","akukan","akkkan","akuhan"
"pestilence","??","?","?","","","","aku","yeku","","","","akuyeku","akuyeku","akujeki"
"Bad habits","??","?","?","","","","aku","peku","","","","akupeku","akupeku","aku?"
"bad boy","??","?","?","","","","aku","t?n","","","","akut?n","akut?n","aku?"
"abuse","??","?","?","","","","aku","ma","","","","akuma","akuma","aku?"
"evil plot","??","?","?","","","","aku","b?","","","","akub?","akub?","aku?"
"bad taste","??","?","?","","","","aku","swi","","","","akuswi","akuswi","aku?"
"dark side","??","?","?","","","","an","bu","","","","anbu","ambu","anbu"
"hit","??","?","?","","","","an","da","","","","anda","anda","anda"
"safety","??","?","?","","","","an","?en","","","","an?en","an?en","an?en"
"in the dark","??","?","?","","","","an","ju","","","","anju","anju","an?u"
"Anza","??","?","?","","","","an","jwa","","","","anjwa","anjwa","an?wa"
"gloom","??","?","?","","","","an","ei","","","","anei","annei","anei"
"stupidity","??","?","?","","","","an","yu","","","","anyu","annyu","angu"
"Easy","??","?","?","","","","an","?s","","","","an?s","an?s","anis"
"Inexpensive","??","?","?","","","","an","ka","","","","anka","anka","anka"
"Yasukang","??","?","?","","","","an","k?n","","","","ank?n","ank?n","anka?n"
"Case","??","?","?","","","","an","ken","","","","anken","anken","ankon"
"Ankuni","??","?","?","","","","an","kuku","","","","ankuku","ankuku","ankuku"
"foolish ruler","??","?","?","","","","an","kun","","","","ankun","ankun","ankun"
"blackout curtain","??","?","?","","","","an","maku","","","","anmaku","anmaku","anmaku"
"Anmin","??","?","?","","","","an","min","","","","anmin","anmin","anmin"
"Sleep well","??","?","?","","","","an","min","","","","anmin","anmin","anmin"
"draft","??","?","?","","","","an","mun","","","","anmun","anmun","anmun"
"peace of mind","??","?","?","","","","an","nei","","","","annei","annei","annei"
"security","??","?","?","","","","an","po","","","","anpo","ampo","anpori"
"Proportionate","??","?","?","","","","an","pun","","","","anpun","ampun","anpun"
"mental arithmetic","??","?","?","","","","an","san","","","","ansan","ansan","ansan"
"Ansan","??","?","?","","","","an","san","","","","ansan","ansan","ansan"
"Easy delivery","??","?","?","","","","an","san","","","","ansan","ansan","ansan"
"dark color","??","?","?","","","","an","seku","","","","anseku","anseku","anseku"
"dark purple","??","?","?","","","","an","shi","","","","anshi","anshi","an?i"
"peace of mind","??","?","?","","","","an","shin","","","","anshin","anshin","an?in"
"darkroom","??","?","?","","","","an","shis","","","","anshis","anshis","an?is"
"Idea","??","?","?","","","","an","shus","","","","anshus","anshus","an?us"
"Stability","??","?","?","","","","an","tei/j?n","","","","antei/j?n","antei/j?n","an?o?"
"reef","??","?","?","","","","an","sh?","","","","ansh?","ansh?","an?o?"
"Blackout","??","?","?","","","","an","ten","","","","anten","anten","an?en"
"secret struggle","??","?","?","","","","an","t?","","","","ant?","ant?","antu?"
"low rank","??","?","?","","","","an","wi","","","","anwi","annwi","anwi"
"allusion","??","?","?","","","","an","shi","","","","anshi","anshi","an?i"
"safety","??","?","?","","","","an","hwi","","","","anhwi","anhwi","anhwi"
"metaphor","??","?","?","","","","an","yu","","","","anyu","annyu","an?"
"culvert","??","?","?","","","","an","","","","","an","an","an?"
"memorization","??","?","?","","","","an","fu","","","","anfu","anfu","an?"
"secret operations","??","?","?","","","","an","yaku","","","","anyaku","annyaku","anjaku"
"Subculture","??","?","?","","","","a","ry?n","","","","ary?n","ary?n","arjun"
"Demi-Saint","??","?","?","","","","a","sei","","","","asei","asei","asei"
"subspecies","??","?","?","","","","a","tsu","","","","atsu","atsu","a?u"
"flax","??","?","?","","","","a","ma","","","","ama","ama","ama"
"stick size","??","?","?","","","","h?n","dai","","","","h?ndai","h?ndai","ba?ndai"
"bulletproof","??","?","?","","","","b?n","tan","","","","b?ntan","b?ntan","ba?ndan"
"protection","??","?","?","","","","b?n","ho","","","","b?nho","b?nho","ba?ngo"
"Armor","??","?","?","","","","b?n","gu","","","","b?ngu","b?ngu","ba?ngu"
"deceased friend","??","?","?","","","","m?n","y?","","","","m?ny?","m?nny?","ba?nju?"
"monk","??","?","?","","","","p?n","kan","","","","p?nkan","p?nkan","ba?nkan"
"Tide barrier","??","?","?","","","","b?n","ts?","","","","b?nts?","b?nts?","ba?nko"
"dead country","??","?","?","","","","m?n","kuku","","","","m?nkuku","m?nkuku","ba?nkuku"
"deceased prince","??","?","?","","","","m?n","kun","","","","m?nkun","m?nkun","ba?nkun"
"late mother","??","?","?","","","","m?n","mo","","","","m?nmo","m?nmo","ba?nmo"
"Soundproofing","??","?","?","","","","b?n","on","","","","b?non","b?nnon","ba?non"
"Barrier","??","?","?","","","","b?n","peku","","","","b?npeku","b?mpeku","ba?npjeku"
"late husband","??","?","?","","","","m?n","fu","","","","m?nfu","m?nfu","ba?npu"
"late father","??","?","?","","","","m?n","fu","","","","m?nfu","m?nfu","ba?npu"
"Windproof","??","?","?","","","","b?n","p?n","","","","b?np?n","b?mp?n","ba?npu?n"
"sand control","??","?","?","","","","b?n","sa","","","","b?nsa","b?nsa","ba?nsa"
"bar wire","??","?","?","","","","h?n","sen","","","","h?nsen","h?nsen","ba?nsen"
"Resist dyeing","??","?","?","","","","b?n","l?n","","","","b?nl?n","b?nl?n","ba?nsen"
"snow protection","??","?","?","","","","b?n","shes","","","","b?nshes","b?nshes","ba?nses"
"deceased","??","?","?","","","","m?n","sha","","","","m?nsha","m?nsha","ba?n?a"
"Loss","??","?","?","","","","m?n","shis","","","","m?nshis","m?nshis","ba?n?is"
"Moisture-proof","??","?","?","","","","b?n","sh?s","","","","b?nsh?s","b?nsh?s","ba?n?is"
"monk","??","?","?","","","","p?n","shu","","","","p?nshu","p?nshu","ba?n?u"
"Gas protection","??","?","?","","","","b?n","toku","","","","b?ntoku","b?ntoku","ba?ntoku"
"deceased wife","??","?","?","","","","m?n","sai","","","","m?nsai","m?nsai","ba?n?ei"
"prevention","??","?","?","","","","b?n","tsi","","","","b?ntsi","b?ntsi","ba?n?i"
"Heat protection","??","?","?","","","","b?n","sho","","","","b?nsho","b?nsho","ba?n?o"
"bocho","??","?","?","","","","b?n","ch?n","","","","b?nch?n","b?nch?n","ba?n?a?n"
"defensive","??","?","?","","","","b?n","chen","","","","b?nchen","b?nchen","ba?n?en"
"pest control","??","?","?","","","","b?n","tso","","","","b?ntso","b?ntso","ba?n?e"
"Stick fighting","??","?","?","","","","h?n","chus","","","","h?nchus","h?nchus","ba?n?us"
"anticommunist","??","?","?","","","","b?n","ky?","","","","b?nky?","b?nky?","ba?nkjo"
"defensive wall","??","?","?","","","","b?n","rwi","","","","b?nrwi","b?nlwi","ba?nlwi"
"fortification","??","?","?","","","","b?n","seku","","","","b?nseku","b?nseku","ba?n?"
"dustproof","??","?","?","","","","b?n","","","","","b?n","b?n","ba?n?"
"Flame retardant","??","?","?","","","","b?n","yen","","","","b?nyen","b?nnyen","ba?njen"
"Epidemic prevention","??","?","?","","","","b?n","yeku","","","","b?nyeku","b?nnyeku","ba?njeki"
"Odor prevention","??","?","?","","","","b?n","sh?","","","","b?nsh?","b?nsh?","ba?n?u?"
"insect repellent","??","?","?","","","","b?n","ts?n","","","","b?nts?n","b?nts?n","ba?n?u"
"defense","??","?","?","","","","b?n","wei","","","","b?nwei","b?nnwei","ba?nwe"
"counterintelligence","??","?","?","","","","b?n","","","","","b?n","b?n","ba?n?"
"soul","??","?","?","","","","m?n","hon","","","","m?nhon","m?nhon","ba?n?"
"horse ears","??","?","?","","","","ma","ji","","","","maji","maji","babi"
"Domination","??","?","?","","","","ba","d?","","","","bad?","bad?","bado?"
"on horseback","??","?","?","","","","ma","?i","","","","ma?i","ma?i","ba?a?n"
"Before the horse","??","?","?","","","","ma","?en","","","","ma?en","ma?en","ba?en"
"harness","??","?","?","","","","ma","gu","","","","magu","magu","bagu"
"herd of horses","??","?","?","","","","ma","gun","","","","magun","magun","bagun"
"Buying and Selling","??","?","?","","","","mai","mai","","","","maimai","maimai","baibai"
"prostitution","???","?","?","?","","","mai","mai","tsun","","","maimai","maimai","baibai?un"
"Buyout","??","?","?","","","","mai","byen","","","","maibyen","maibyen","baibjen"
"double the amount","??","?","?","","","","pai","gau","","","","paigau","paigau","baigwaku"
"Sold","??","?","?","","","","mai","yaku","","","","maiyaku","maiyaku","baijaku"
"over-the-counter medicine","??","?","?","","","","mai","yaku","","","","maiyaku","maiyaku","baijaku"
"doubling","??","?","?","","","","pai","ka","","","","paika","paika","baika"
"Selling price","??","?","?","","","","mai","ka","","","","maika","maika","baika"
"prostitute","??","?","?","","","","mai","kan","","","","maikan","maikan","baikan"
"purchasing official","??","?","?","","","","mai","kan","","","","maikan","maikan","baikan"
"selling blood","??","?","?","","","","mai","kyes","","","","maikyes","maikyes","baikes"
"selling country","??","?","?","","","","mai","kuku","","","","maikuku","maikuku","baikku"
"spectator","??","?","?","","","","pai","kan","","","","paikan","paikan","baikwan"
"self-promotion","??","?","?","","","","mai","mei/my?n","","","","maimei/my?n","maimei/my?n","baimei"
"selling writing","??","?","?","","","","mai","mun","","","","maimun","maimun","baimun"
"Plum meat","??","?","?","","","","mai","nuku","","","","mainuku","mainuku","bainuku"
"overtones","??","?","?","","","","pai","on","","","","paion","paion","baion"
"For sale","??","?","?","","","","mai","pin","","","","maipin","maipin","baipin"
"plum grove","??","?","?","","","","mai","rin","","","","mairin","mairin","bairin"
"double amount","??","?","?","","","","pai","ry?n","","","","pairy?n","pairy?n","bairjo"
"magnification","??","?","?","","","","pai","ri/ryos/sos/les","","","","pairi/ryos/sos/les","pairi/ryos/sos/les","bairjus"
"attendee","??","?","?","","","","pai","seku","","","","paiseku","paiseku","baiseku"
"multiple","??","?","?","","","","pai","s?","","","","pais?","pais?","baisu"
"jury","??","?","?","","","","pai","shin","","","","paishin","paishin","bai?"
"medium","??","?","?","","","","mwi","shis","","","","mwishis","mwishis","bai?is"
"prostitution","??","?","?","","","","mai","tsun","","","","maitsun","maitsun","bai?un"
"jury","??","?","?","","","","pai","shin","","","","paishin","paishin","bai?win"
"accompanying","??","?","?","","","","pai","s?n","","","","pais?n","pais?n","bai?o?n"
"drug dealer","??","?","?","","","","mai","zhin","","","","maizhin","maizhin","bai?in"
"retainer","??","?","?","","","","pai","jin","","","","paijin","paijin","bai?in"
"sell","??","?","?","","","","mai","","","","","mai","mai","bai?"
"fortune telling","??","?","?","","","","mai","","","","","mai","mai","bai?"
"matchmaker","??","?","?","","","","mwi","shaki","","","","mwishaki","mwishaki","bai?"
"fool","??","?","?","","","","ma","nuku","","","","manuku","manuku","baka"
"ambition","??","?","?","","","","ba","ki","","","","baki","baki","baki"
"horse legs","??","?","?","","","","ma","kyaku","","","","makyaku","makyaku","bakja"
"horse farming","??","?","?","","","","ma","gy?n","","","","magy?n","magy?n","bako?"
"hegemony","??","?","?","","","","ba","kwon","","","","bakwon","bakwon","bakon"
"betting tickets","??","?","?","","","","ma","kwen","","","","makwen","makwen","bakwon"
"horsepower","??","?","?","","","","ma","riki/r?","","","","mariki/r?","mariki/r?","baliki"
"late summer","??","?","?","","","","ban","ha","","","","banha","banha","banha"
"sentinel","??","?","?","","","","pan","p?n","","","","panp?n","pamp?n","banhei"
"number","??","?","?","","","","pan","ho","","","","panho","panho","banho"
"guard","??","?","?","","","","pan","yoki","","","","panyoki","pannyoki","banjaku"
"watchdog","??","?","?","","","","pan","ken","","","","panken","panken","banken"
"Late season","??","?","?","","","","ban","ki","","","","banki","banki","banki"
"paradigm","??","?","?","","","","pan","kei/ky?n","","","","pankei/ky?n","pankei/ky?n","bankjo?n"
"Late marriage","??","?","?","","","","ban","hon","","","","banhon","banhon","bankon"
"paradigm","??","?","?","","","","pan","rei","","","","panrei","panlei","banlje"
"Bancha tea","??","?","?","","","","pan","cha","","","","pancha","pancha","bansa"
"Late birth","??","?","?","","","","ban","san","","","","bansan","bansan","bansan"
"Late bloomer","??","?","?","","","","ban","sei","","","","bansei","bansei","bansei"
"Late-ripening","??","?","?","","","","ban","sei","","","","bansei","bansei","bansei"
"Track number","??","?","?","","","","pan","sen","","","","pansen","pansen","bansen"
"late festival","??","?","?","","","","ban","sos","","","","bansos","bansos","bansos"
"guard","??","?","?","","","","pan","shi","","","","panshi","panshi","ban?i"
"Master","??","?","?","","","","pan","shi","","","","panshi","panshi","ban?i"
"late spring","??","?","?","","","","ban","tsun","","","","bantsun","bantsun","ban?un"
"Late Tang Dynasty","??","?","?","","","","ban","t?n","","","","bant?n","bant?n","banta?n"
"Bancho","??","?","?","","","","pan","ch?n","","","","panch?n","panch?n","ban?a?n"
"storekeeper","??","?","?","","","","pan","tu","","","","pantu","pantu","bantu"
"horsemeat","??","?","?","","","","ma","nuku","","","","manuku","manuku","banuku"
"Extra","??","?","?","","","","pan","wai","","","","panwai","pannwai","banwai"
"Craftsman","??","?","?","","","","pan","ch?n","","","","panch?n","panch?n","ban?"
"range","??","?","?","","","","pan","wi","","","","panwi","pannwi","banwi"
"Dinner","??","?","?","","","","ban","pan","","","","banpan","bampan","ban?han"
"category","??","?","?","","","","pan","","","","","pan","pan","ban?"
"program","??","?","?","","","","pan","so","","","","panso","panso","banso"
"evening drink","??","?","?","","","","ban","shaki","","","","banshaki","banshaki","ban?"
"evening bell","??","?","?","","","","ban","ch?","","","","banch?","banch?","ban?"
"late frost","??","?","?","","","","ban","s?n","","","","bans?n","bans?n","ban?"
"Emperor's Palace","??","?","?","","","","ba","fu","","","","bafu","bafu","bapu"
"Horse fee","??","?","?","","","","ma","ryo","","","","maryo","maryo","barjo"
"Draw your sword","??","?","?","","","","pas","tau","","","","pastau","pastau","basto"
"Tooth extraction","??","?","?","","","","pas","chi","","","","paschi","pacchi","ba??i"
"Removal of stitches","??","?","?","","","","pas","shi","","","","passhi","passhi","bas?i"
"Champion","??","?","?","","","","ba","sha","","","","basha","basha","ba?a"
"horse owner","??","?","?","","","","ma","shu","","","","mashu","mashu","ba?u"
"horse neck","??","?","?","","","","ma","shu","","","","mashu","mashu","ba?u"
"Horse body","??","?","?","","","","ma","tai","","","","matai","matai","ba?e"
"horseman","??","?","?","","","","ma","t?n","","","","mat?n","mat?n","ba?o?n"
"horse head","??","?","?","","","","ma","tu","","","","matu","matu","batu"
"Overlord","??","?","?","","","","ba","ou","","","","baou","baou","bawa?n"
"horse bandit","??","?","?","","","","ma","zoku","","","","mazoku","mazoku","bazuku"
"equestrian","??","?","?","","","","ma","chus","","","","machus","machus","ba?us"
"horse","??","?","?","","","","ma","his","","","","mahis","mahis","bapike"
"Horse","??","?","?","","","","ma","","","","","ma","ma","bato?n"
"horse manure","??","?","?","","","","ma","","","","","ma","ma","ba?"
"horse play","??","?","?","","","","ma","","","","","ma","ma","ba?"
"horseshoe","??","?","?","","","","ma","","","","","ma","ma","ba?"
"horse bell","??","?","?","","","","ma","ry?n","","","","mary?n","mary?n","ba?"
"horse age","??","?","?","","","","ma","r?n","","","","mar?n","mar?n","ba?"
"toilet seat","??","?","?","","","","b?n","jwa","","","","b?njwa","b?njwa","bi?n?wa"
"Toilet clothes","??","?","?","","","","b?n","i","","","","b?ni","b?nni","bi?ni"
"convenience","??","?","?","","","","b?n","ri","","","","b?nri","b?nli","bi?nli"
"expedient","??","?","?","","","","b?n","h?/h?","","","","b?nh?/h?","b?nh?/h?","bi?npo?"
"available steamer","??","?","?","","","","b?n","sen","","","","b?nsen","b?nsen","bi?nsen"
"Bowel movements","??","?","?","","","","b?n","ts?n","","","","b?nts?n","b?nts?n","bi?n?o?n"
"bowel movements","??","?","?","","","","b?n","wi","","","","b?nwi","b?nnwi","bi?nwi"
"art school","??","?","?","","","","mi","dai","","","","midai","midai","bidai"
"heroic tale","??","?","?","","","","mi","tan","","","","mitan","mitan","bidan"
"Mita","??","?","?","","","","mi","tyen","","","","mityen","mityen","bi?en"
"Beautiful words","??","?","?","","","","mi","ji","","","","miji","miji","bi?i"
"fine powder","??","?","?","","","","mi","pun","","","","mipun","mipun","bifun"
"Facial beauty","??","?","?","","","","mi","gan","","","","migan","migan","bigan"
"Slight decrease","??","?","?","","","","mi","kan","","","","mikan","mikan","bigen"
"Beautiful technique","??","?","?","","","","mi","gi","","","","migi","migi","bigi"
"aesthetics","??","?","?","","","","mi","","","","","mi","mi","bihaku"
"beautiful clothes","??","?","?","","","","mi","fuku","","","","mifuku","mifuku","bihuku"
"beauty","??","?","?","","","","mi","y?n","","","","miy?n","miy?n","bijo?"
"tail","??","?","?","","","","bi","?ku","","","","bi?ku","bi?ku","bijoku"
"Under the ear","??","?","?","","","","ji","ka","","","","jika","jika","bika"
"Under the nose","??","?","?","","","","pi","ka","","","","pika","pika","bika"
"sense of beauty","??","?","?","","","","mi","kan","","","","mikan","mikan","bikan"
"minor officer","??","?","?","","","","mi","kan","","","","mikan","mikan","bikan"
"beautiful school","??","?","?","","","","mi","kyo","","","","mikyo","mikyo","bikjo"
"Beautiful","??","?","?","","","","mi","kei/ky?n","","","","mikei/ky?n","mikei/ky?n","bikjo?n"
"beautification","??","?","?","","","","mi","kwa","","","","mikwa","mikwa","bikwa"
"aesthetics","??","?","?","","","","mi","kan","","","","mikan","mikan","bikwan"
"faint light","??","?","?","","","","mi","kw?","","","","mikw?","mikw?","bikwo?"
"Memorandum","??","?","?","","","","bi","m?n","","","","bim?n","bim?n","bima?n"
"Beautiful name","??","?","?","","","","mi","mei/my?n","","","","mimei/my?n","mimei/my?n","bimei"
"attention","??","?","?","","","","ji","moku","","","","jimoku","jimoku","bimuku"
"Mibun","??","?","?","","","","mi","mun","","","","mimun","mimun","bimun"
"Mion","??","?","?","","","","mi","on","","","","mion","mion","bion"
"low temperature","??","?","?","","","","mi","on","","","","mion","mion","bion"
"nasal","??","?","?","","","","pi","on","","","","pion","pion","bion"
"Equipment","??","?","?","","","","bi","pin","","","","bipin","bipin","bipin"
"whitening","??","?","?","","","","mi","paku","","","","mipaku","mipaku","bipjaku"
"Beautiful book","??","?","?","","","","mi","hon/pon","","","","mihon/pon","mihon/pon","bipon"
"Mikaze","??","?","?","","","","mi","p?n","","","","mip?n","mip?n","bipu?n"
"differential","??","?","?","","","","mi","pun","","","","mipun","mipun","bipun"
"Beautiful","??","?","?","","","","mi","rei/ry?n","","","","mirei/ry?n","mirei/ry?n","birei"
"Weak power","??","?","?","","","","mi","riki/r?","","","","miriki/r?","miriki/r?","biriki"
"Mirin","??","?","?","","","","mi","rin","","","","mirin","mirin","birin"
"Beautiful voice","??","?","?","","","","mi","shei","","","","mishei","mishei","bisei"
"Beautiful clothing","??","?","?","","","","mi","s?","","","","mis?","mis?","biso?"
"ear order","??","?","?","","","","ji","jun","","","","jijun","jijun","bisun"
"Beauty","??","?","?","","","","mi","shin/jin","","","","mishin/jin","mishin/jin","bi?in"
"beauty","??","?","?","","","","mi","shis","","","","mishis","mishis","bi?is"
"gastronomy","??","?","?","","","","mi","shoku","","","","mishoku","mishoku","bi?oku"
"Beauty","??","?","?","","","","mi","ten","","","","miten","miten","biten"
"Bincho","??","?","?","","","","bi","ch?n","","","","bich?n","bich?n","bi?a?n"
"Beauty and customs","??","?","?","","","","mi","zuku","","","","mizuku","mizuku","bizoku"
"beautiful woman","??","?","?","","","","mi","zhin","","","","mizhin","mizhin","bi?in"
"Good sake","??","?","?","","","","mi","shu","","","","mishu","mishu","bi?u"
"art","??","?","?","","","","mi","chus","","","","michus","michus","bi?us"
"Slight increase","??","?","?","","","","mi","z?n","","","","miz?n","miz?n","bizu?n"
"Miki","??","?","?","","","","mi","ki","","","","miki","miki","bi?"
"nostril","??","?","?","","","","pi","k?n","","","","pik?n","pik?n","biko?"
"weak","??","?","?","","","","mi","jaku","","","","mijaku","mijaku","bi?aku"
"bridge of nose","??","?","?","","","","pi","","","","","pi","pi","birja?n"
"ear flap","??","?","?","","","","ji","kaiku","","","","jikaiku","jikaiku","bi?"
"rhinitis","??","?","?","","","","pi","yen","","","","piyen","piyen","bijen"
"nickname","??","?","?","","","","mi","ts?n","","","","mits?n","mits?n","bi?o?"
"Ogogo","??","?","?","","","","bi","r?n","","","","bir?n","bir?n","bi?"
"minor offenses","??","?","?","","","","mi","zoi","","","","mizoi","mizoi","bi?oi"
"nasal cavity","??","?","?","","","","pi","","","","","pi","pi","bi?"
"Bisan","??","?","?","","","","bi","tsan","","","","bitsan","bitsan","bisan"
"beauty and ugliness","??","?","?","","","","mi","shu","","","","mishu","mishu","bi?"
"defense","??","?","?","","","","byen","ho","","","","byenho","byenho","bjengo"
"Magistrate","??","?","?","","","","byen","kan","","","","byenkan","byenkan","bjenkan"
"Secretary","??","?","?","","","","byen","kou","","","","byenkou","byenkou","bjenko?"
"patent","??","?","?","","","","byen","ri","","","","byenri","byenli","bjenli"
"Commissioner","??","?","?","","","","byen","mu","","","","byenmu","byenmu","bjenmu"
"eloquence","??","?","?","","","","byen","sai","","","","byensai","byensai","bjensai"
"Plea","??","?","?","","","","byen","ses","","","","byenses","byenses","bjenses"
"orator","??","?","?","","","","byen","shi","","","","byenshi","byenshi","bjen?i"
"Dialectic","??","?","?","","","","byen","sh?","","","","byensh?","byensh?","bjen?o?po?"
"bento","??","?","?","","","","byen","t?n","","","","byent?n","byent?n","bjenta?n"
"speech","??","?","?","","","","byen","zes","","","","byenzes","byenzes","bjen?es"
"Separately sealed","??","?","?","","","","byes","p?n","","","","byesp?n","byesp?n","bjesfu?"
