lemma,ipa,POS,english,italian,byakuzhi,askaoza,notes,example
estintsas,estinʦas,: adv =,at any time,in qualsiasi momento,,,,
estinki,estinki,: adv =,at some point,in qualche momento,,,,
Atina,Atina,: n =,Athens,Atene,,,,
Ōkkulendi,oːkkulendi,: n =,Auckland,Auckland,,,,
hankuri,hankuri,: n =,aurora,aurora,,,,
jaon,jaon,: n =,avenue (from north to south),viale (da nord a sud),,,,
lan,lan,: n =,avenue (from west to east),viale (da ovest a est),,,,
tue,tue,: adv =,away,via,,,,
taku,taku,: n =,back (body part),schiena,,,,
natoko,natoko,: n =,Backpack,zaino,,,,
odas,odas,: adv =,backwards,indietro,,,,
zushina,zuʃina,: adj =,bad,cattivo,,,,
kizu,kizu,: n =,"bad, it doesn't go well","male, non va",,,,
samuna,samuna,: n =,badger,tasso,,,,
mori,mori,: n =,bamboo,bambù,,,,
fuwaða,fuːwaʤa,: n =,banana,banana,,,,
hatakooro,hatakooro,: n =,barefoot,a piedi nudi,,,,
sano,sano,: n =,base,base,,,,
jibetaina,ʤibetaina,: n =,bathroom (room),bagno (stanza),,,,
sahna,sahna,: n =,bay,baia,,,,
maba,maba,: n =,beach,spiaggia,,,,
nate,nate,: n =,bean,fagiolo,,,,
usumu,usumu,: n =,bear,orso,,,,
gigiwa,gigiwa,: n =,beat,battito,,,,
enoː,enoː,: n =,Bed,letto,,,,
tendattan,tendattan,: n =,beetle,coleottero,,,,
odae,odae,: n =,behind,dietro,,,,
hĪji,hiːʤi,: n =,belt,cintura,,,,
hyonto,hjonto,: n =,bench,panchina,,,,
aki,aki,: adv =,between,tra/fra,,,,
suma,suma,: adv =,beyond,oltre a,,,,
inore,inore,: n =,"beyond, on the other side","oltre, dall'altra parte",,,,
ōdana,oːdana,: adj =,big,grande,,,,
kwikei,kwikei,: n =,bill,conto,,,,
kirwasu,kirwasu,: v =,bind,legare,,,,
fuwo,fuwo,: n =,bird,uccello,,,,
rokoi,rokoi,: n =,black,nero,,,,
kukutaː,kukutaː,: n =,black sugar,zucchero nero,黑糖,,,
yui,jui,: n =,blade,lama,,,,
fere,fere,: n =,blood,sangue,,,,
satsoa,saʦoa,: n =,blue,blu,,,,
kanli,kanli,: n =,boat,barca,,,,
kino,kino,: n =,book,libro,,,,
purteina,purteina,: adj =,boring,noioso,,,,
funtwasu,funtwasu,: v =,borrow,prendere in prestito,,,,
kinna,kinna,: n =,bottle,bottiglia,,,,
soki,soki,: n =,bottom,fondo,,,,
poniukatamu,poniukatamu,: n =,bracelet,braccialetto,,,,
orjua,orjua,: n =,brain,cervello,,,,
nakke,nakke,: n =,bread,pane,,,,
allaimana,allaimana,: n =,breakfast,colazione,,,,
hanki,hanki,: n =,breath,respiro,,,,
ikkae,ikkae,: n =,breeze,brezza,,,,
totsu,toʦu,: n =,bridge,ponte,,,,
shikoi,ʃikoi,: n =,brings,porta,,,,
dukaro,dukaro,: n =,broccoli,broccolo,,,,
ʤunna,ʤunna,: n =,broom,scopa,,,,
saise,saise,: n =,broth,brodo,,,,
panoi,panoi,: n =,brother/sister,fratello/sorella,,,,
touso,touso,: n =,brown,marrone,,,,
mupashi,mupaʃi,: n =,bucket,secchio,,,,
sharumuira,ʃarumuira,: n =,buckle,fibbia,,,,
rakes,rakes,: n =,building,edificio,,,,
hunulsu,hunulsu,: v =,burn,bruciare,,,,
baki,baki,: conj =,but,ma,,,,
hadaro,hadaro,: n =,butter,burro,,,,
eida,eida,: n =,butterfly,farfalla,,,,
toki,toki,: n =,by,da parte,,,,
ori,ori,: n =,cage,gabbia,,,,
sanki,sanki,: n =,cake,torta,,,,
hinastana,hinastana,: adj =,Calm,tranquillo,,,,
keltari,keltari,: n =,camellia,camelia,,,,
shashinki,ʃaʃinki,: n =,camera,macchina fotografica,,,,
hari,hari,: n =,camphor,canfora,,,,
kaisu,kaisu,: v =,cancel,cancellare,,,,
tansuikwamus,tansuikwamus,: n =,carbohydrates,carboidrati,,,,
sakante,sakante,: adv =,carefully,accuratamente,,,,
rohtapa,rohtapa,: n =,carrot,carota,,,,
shero,ʃero,: n =,castle,castello,,,,
shinna,ʃinna,: n =,cat,gatto,,,,
jennin,jennin,: n =,cause,causa,,,,
ibu,ibu,: n =,center,centro,,,,
tankena,tankena,: adj =,Certain,certo,,,,
koiba,koiba,: n =,chair,sedia,,,,
tsumoki,ʦumoki,: n =,chameleon,camaleonte,,,,
toibisu,toibisu,: v =,check,controllare,,,,
sohai,sohai,: n =,cheek,guancia,,,,
shinatsa,ʃinaʦa,: n =,cherry,ciliegia,,,,
sakon,sakon,: n =,chest,petto,,,,
kiro,kiro,: n =,chestnut,castagno,,,,
Shikego,ʃikego,: n =,Chicago,Chicago,,,,
tasuta,tasuta,: n =,chicken,pollo,,,,
mitoko,mitoko,: n =,child,bambino,,,,
iwon,iwon,: n =,chin,mento,,,,
ebesu,ebesu,: v =,choose,scegliere,,,,
shogos,ʃogos,: n =,chrysanthemum,crisantemo,,,,
nāsoi,naːsoi,: n =,circle,cerchio,,,,
toka,toka,: n =,city,città,,,,
reiluna,reiluna,: adj =,clean,pulito,,,,
ettana,ettana,: adj =,clear,chiaro,,,,
kiri,kiri,: n =,cliff,scogliera,,,,
kinnotaka,kinnotaka,: n =,clock,orologio,,,,
tanayari,tanajari,: n =,closure,chiusura,,,,
noippa,noippa,: n =,cloud,nuvola,,,,
parani,parani,: n =,cloud,nuvola,,,,
tararana,tararana,: adj =,coarse,ruvido,,,,
nihki,nihki,: n =,coast,costa,,,,
kāfi,ka:fi,: n =,coffee,caffè,,,,
gaire,gaire,: n =,cold,raffreddore,,,,
dinga,dinga,: n =,cold water,acqua fredda,,,,
ahiro,ahiro,: n =,color,colore,,,,
riihihanga,riihihanga,: n =,comet star,stella cometa,,,,
akinae,akinae,: adv =,coming soon,a breve,,,,
zhōnshiki,ʒoːnʃiki,: n =,common sense,senso comune,,,,
werasu,werasu,: v =,compare,comparare,,,,
fukutsassyasu,fukuʦa:ssjasu,: adj =,complicated,complicato,,,,
dyensanki,djensanki,: n =,computer,computer,,,,
sūcchu,sūʧʧu,: n =,concentration,concentrazione,,,,
tawara,tawara,: n =,confine,confine,,,,
hagapuha,hagapuha,: n =,connection (transport),connection (transport),,,,
minse,minse,: adv =,constantly,costantemente,,,,
poyohausu,pojohausu,: v =,continue (intr),continuare (intr),,,,
poyohasu,pojohasu,: v =,continue (tr),continuare (tr),,,,
binnu,binnu,: n =,cormorant,cormorano,,,,
wiikena,wi:kena,: adj =,"correct, right","corretto, giusto",,,,
shumuna,ʃumuna,: adj =,costly,costoso,,,,
hāsuko,haːsuko,: n =,cotton,cotone,,,,
rihmi,rihmi,: n =,county,contea,,,,
neso,neso,: n =,cover,coperchio,,,,
hiinuwa,hiinuwa,: n =,cow,mucca,,,,
ārikko,aːrikko,: n =,crane,gru,,,,
rogyensu,rogjensu,: v =,cross,attraversare,,,,
raugan,raugan,: n =,crow,corvo,,,,
igari,igari,: n =,crowd,folla,,,,
gewairi,gewairi,: n =,crying,pianto,,,,
munkan,munkan,: n =,curfew,coprifuoco,,,,
yupara,jupara,: n =,cushion,cuscino,,,,
tsūmuna,ʦuːmuna,: adj =,dark,scuro,,,,
fuskuna,fuskuna,: adj =,dark,scuro,,,,
juskae,ʤuskae,: n =,Daughter,figlia,,,,
kato,kato,: n =,day,giorno,,,,
nukore,nukore,: n =,death,morte,,,,
warisu,warisu,: v =,decide,decidere,,,,
warokana,warokana,: adj =,deep,profondo,,,,
tottanhei,tottanhei,: n =,deer,cervo,,,,
narugesu,narugesu,: v =,delay,ritardare,,,,
haikuna,haikuna,: adj =,delightful,delizioso,,,,
teitosu,teitosu,: v =,deliver,consegnare,,,,
fufun,fufun,: n =,delta (river),delta (fiume),,,,
gimurana,gimurana,: adj =,dense/thick,denso/folto,,,,
tearesu,tearesu,: v =,DESCEND,scendere,,,,
[hyp. base]+pusu,[hyp. base]+pusu,: conj =,Despite,nonostante,,,,
ikeatu,ikeatu,: n =,destination,destinazione,,,,
rumahtusu,rumahtusu,: v =,destroy,distruggere,,,,
minbarunka,minbarunka,: n =,deviation,deviazione,,,,
bankana,bankana,: adv =,different,diverso,,,,
asatsana,asaʦana,: adj =,difficult,difficile,,,,
seikamana,seikamana,: n =,dinner,cena,,,,
yori,jori,: n =,direction,direzione,,,,
sunto,sunto,: n =,direction,direzione,,,,
mustedana,mustedana,: adj =,dirty,sporco,,,,
kaozasu,kaozasu,: v =,disappear,sparire,,,,
fudoa,fudoa,: n =,dish,piatto,,,,
noteka,noteka,: n =,dispay window,vetrina,,,,
nantana,nantana,: adj =,distant,lontano,,,,
rul,rul,: n =,docking,attracco,,,,
wizha,wizha,: n =,doctor,medico,,,,
tento,tento,: n =,dog,cane,,,,
otaho,otaho,: n =,dolphin,delfino,,,,
shikoi,ʃikoi,: n =,door,porta,,,,
wamiro,wamiro,: n =,dormouse,ghiro,,,,
kahlu,kahli,: n =,doubt,dubbio,,,,
kahlesu,kahlesu,: v =,doubt,dubitare,,,,
myūha,mjuːha,: n =,dream,sogno,,,,
chune,ʧune,: n =,dress,vestito,,,,
urugusu,urugusu,: v =,drown,affogare,,,,
tobe,tobe,: n =,duck,anatra,,,,
kelokeri,kelokeri,: n =,dusk,crepuscolo,,,,
yeparisu,yeparisu,: v =,dye,tingere,,,,
ikoiko,ikoiko,: n =,each,ciascuno,,,,
itso-,itso-,: pref  =,"each other, reciprocally","a vicenda, reciprocamente",,,,
hamuda,hamuda,: n =,eagle,aquila,,,,
tappi,tappi,: n =,ear,orecchio,,,,
deda,deda,: n =,Earth,terra,,,,
issana,issana,: adj =,easy,facile,,,,
kandannyasu,kandannjasu,: adj =,easy,facile,,,,
nakaku,nakaku,: n =,ebony,ebano,,,,
isana,isana,: adj =,economic,economico,,,,
sokki,sokki,: n =,edge,bordo,,,,
kasoi,kasoi,: n =,egg,uovo,,,,
yeison,jeison,: num =,eight,otto,,,,
deri,deri,: n =,elbow,gomito,,,,
hizhōnku,hiʒoːku,: n =,Emergency Exit,uscita di emergenza,,,,
shawin,ʃawin,: n =,employee,impiegato,,,,
shaikona,ʃaikona,: adj =,empty,vuoto,,,,
sayesu,sajesu,: v =,encounter,incontrare,,,,
sepu,sepu,: n =,end,fine,,,,
tarpesu,tarpesu,: v =,enough,sufficere,,,,
arko,arko,: n =,era,epoca,,,,
tulelsu,tulelsu,: v =,escape,scappare,,,,
tule,tule,: n =,escape,fuga,,,,
tsashi,tsaʧiː,: conj =,etc.,eccetera,,,,
zai,zai,: conj =,even,persino,,,,
yomori,jomori,: adv =,even if (hypothetical),anche se (ipotetico),,,,
hireike,hireike,: conj =,even though,sebbene,,,,
seika,seika,: n =,evening,sera,,,,
yuena,juena,: adj =,"every, each",ogni,,,,
ikki,ikki,: n =,everyone,tutti,,,,
ikose,ikose,: n =,"everything, totality","tutto, totalità",,,,
kamitsas,kamiʦas,: adv =,everywhere,ovunque,,,,
otenkuna,otenkuna,: adj =,expert,esperto,,,,
korigonana,korigonana,: adj =,extraordinary,straordinario,,,,
tanbo,tanbo,: n =,eye,occhio,,,,
jinwa,ʤinwa,: n =,eyebrows,sopracciglia,,,,
tanborigo,tanborigo,: n =,eyeglasses,occhiali,,,,
ahajinwa,ahaʤinwa,: n =,eyelash,ciglia,,,,
yuntsuke,junʦuke,: n =,face,faccia,,,,
mintona,mintona,: adj =,faint,flebile,,,,
kuribena,kuribena,: adj =,fake,finto,,,,
taeka,taeka,: n =,fall,autunno,,,,
jakuna,ʤakuna,: adj =,fast,veloce,,,,
hipān,chipaːn,: n =,fat (nutrition),grasso (nutriz.),,,,
baha,baha,: n =,father,padre,,,,
upe,upe,: n =,fear,paura,,,,
saki,saki,: n =,feather,piuma,,,,
totsus,toʦus,: n =,fennel,finocchio,,,,
shoikes,ʃoikes,: n =,fern,felce,,,,
najue,najue,: n =,field,campo,,,,
geihi,geihi,: n =,finger,dito,,,,
hunui,hunui,: n =,fire,fuoco,,,,
nokkanki,nokkanki,: adv =,firmly,fermamente,,,,
ira,ira,: adv =,first,first,,,,
heki,heki,: adv =,first (chronological),prima (cronologico),,,,
miweː,miweː,: n =,fish,pesce,,,,
oriba,oriba,: num =,five,cinque,,,,
okkalehi,okkalehi,: n =,flamingo,fenicottero,,,,
hake,hake,: n =,flank,fianco,,,,
chiðona,ʧiʣona,: adj =,flat,piatto,,,,
jodo,jodo,: n =,flavor,flavor,,,,
tahpe,tahpe,: n =,flooring,pavimento,,,,
nessana,nessana,: n =,Flour,farina,,,,
hinnan,hinnan,: n =,flower,fiore,,,,
Moskuwa,Moskuwa,: n =,Fly,Mosca,,,,
arasa,arasa,: n =,fog,nebbia,,,,
oroo,oroo,: n =,foot,piede,,,,
odaka,odaka,: n =,footprint,orma,,,,
tsuunko,tsuunko,: adv =,"for nothing, uselessly","per niente, inutilmente",,,,
pones,pones,: n =,Force,forza,,,,
sune,sune,: n =,ford,guado,,,,
mikata,mikata,: n =,forehead,fronte,,,,
tsawa,ʦawa,: n =,forest,foresta,,,,
ikwiste,ikwiste,: adv =,forever,per sempre,,,,
yokoku,jokoku,: n =,forewarning,preavviso,,,,
yunohasu,junohasu,: v =,forget,dimenticare,,,,
sakose,sakose,: n =,form,forma,,,,
tate,tate,: n =,fortress,fortezza,,,,
atae,atae,: n =,forward (space),avanti (spazio),,,,
kata,kata,: n =,fountain,fontana,,,,
kusawagi,kusawagi,: n =,fountain,fontana,,,,
taːs,taːs,: num =,four,quattro,,,,
illena,illena,: n =,fox,volpe,,,,
afuana,afuana,: n =,fragile,fragile,,,,
hapen,hapen,: n =,fragment,frammento,,,,
Furankufurti,Furankufurti,: n =,Frankfurt,Francoforte,,,,
niroena,niroena,: adj =,Freddo,freddo,,,,
jikannona,ʤikannona,: adj =,frequent,frequente,,,,
kishena,kishena,: adj =,fresh,fresco,,,,
taikao,taikao,: n =,Friend,amico,,,,
dōnpan,doːnpan,: n =,frost,gelo,,,,
teittan,teittan,: n =,fulcrum,fulcro,,,,
doke,doke,: adj =,"full, full","colmo, pieno",,,,
sosakina,sosakina,: adj =,fun,divertente,,,,
hingao,hingao,: n =,fungus,fungo,,,,
tatāha,tataːha,: conj =,Furthermore,inoltre,,,,
twaisa,twaisa,: n =,future,futuro,,,,
appi,appi,: n =,game,gioco,,,,
kunsa,kunsa,: n =,garlic,aglio,,,,
mua,mua,: n =,gate,cancello,,,,
tswanka,tswanka,: n =,gem,gemma,,,,
ispancheke yasu,ispanʧeke jasu,: adj =,general,generale,,,,
wāri,waːri,: n =,gesture,gesto,,,,
haikaneusu,haikaneusu,: v =,get closer,avvicinarsi,,,,
tottusu,tottusu,: v =,get used to it,abituarsi,,,,
kappare,kappare,: n =,gift,regalo,,,,
tassuo,tassuo,: n =,glass,bicchiere,,,,
lais,lais,: n =,glass,vetro,,,,
gamokoibo,gamokoibo,: n =,glove,guanto,,,,
raisasu,raisasu,: v =,go out,uscire,,,,
kina,kina,: n =,gold,oro,,,,
tepana,tepana,: adj =,Good,buono,,,,
teribona,teribona,: adj =,good at doing something.,bravo a fare qlc.,,,,
miraki,miraki,: n =,green,verde,,,,
subaki,subaki,: n =,greeting,saluto,,,,
nuri,nuri,: n =,grotto,grotta,,,,
runekuida,runekuida,: v =,guide,guidare,,,,
bise(en),bise(en),: n =,hair,capelli,,,,
gamo,gamo,: n =,hand,mano,,,,
nahana,nahana,: adj =,Handsome,bello,,,,
surina,surina,: adj =,happy,felice,,,,
surin orjukato:,surin orjukato:,: int =,Happy birthday,Buon compleanno,,,,
gahrana,gahrana,: adj =,hard,duro,,,,
ere,ere,: pron =,he who,colui che,,,,
matsu,maʦu,: n =,head,testa,,,,
narusu,narusu,: v =,heal,guarire,,,,
reito,reito,: n =,Heart,cuore,,,,
tsuina,tsuina,: adj =,heat,caldo,,,,
dayana,dajana,: adj =,heavy,pesante,,,,
irono,irono,: n =,hibiscus,ibisco,,,,
rihana,rihana,: adj =,high,alto,,,,
koe,koe,: n =,hill,collinetta,,,,
oboe,oboe,: n =,hill,colle,,,,
hanno,hanno,: pron =,him,lui,,,,
yuteno,yuteno,: n =,history,storia,,,,
atabusu,atabusu,: v =,hit,picchiare,,,,
moji,moʤi,: n =,hole,buco,,,,
toebosu,toebosu,: v =,hope,sperare,,,,
suihjesen,suihjesen,: n =,horizon,orizzonte,,,,
nanboː,nanboː,: n =,hot air,aria calda,,,,
futaka,futaka,: n =,house,casa,,,,
tekkayase,tekkajase,: conj =,However,tuttavia,,,,
andasu,andasu,: v =,hug,abbracciare,,,,
dunagusu,dunagusu,: v =,hurry up,affrettarsi,,,,
suso,suso,: n =,hydrogen,idrogeno,,,,
naiga,naiga,: pron =,I (formal),io (formale),,,,
nai,nai,: pron =,I (informal),io (informale),,,,
yutso,juʦo,: n =,ice,ghiaccio,,,,
rikkutoo,rikkutoo,: n =,ice floe,banchisa,,,,
linpe,linpe,: n =,idea,idea,,,,
eke,eke,: conj =,if (raff.),se (raff.),,,,
nekin,nekin,: conj =,if and when,se e quando,,,,
gwazhoː,gwazhoː,: n =,image,immagine,,,,
juitte,ʤuitte,: n =,in,dentro,,,,
ezan,ezan,: adv =,in front of,di fronte,,,,
ataki,ataki,: n =,in front of,davanti,,,,
adae,adae,: n =,in front of,davanti a,,,,
sobi,sobi,: adv =,in that way,in quel modo,,,,
chobi,ʧobi,: adv =,in that way,in quel modo,,,,
onkeski,onkeski,: adv =,in the end,alla fine,,,,
ehamo,ehamo,: n =,"indistinct noise, rustling","rumore indistinto, fruscio",,,,
funryasu,funtjasu,: v =,inflate,gonfiare,,,,
naːs,naːs,: n =,insect,insetto,,,,
aukasna,aukasna,: adj =,intelligent,intelligente,,,,
chadori,ʧadori,: n =,invitation,invito,,,,
koːsai,koːsai,: n =,iris,iride,,,,
hama,hama,: n =,island,isola,,,,
hanolo,hanolo,: n =,ivy,edera,,,,
horomoi,horomoi,: n =,joy,gioia,,,,
ime,ime,: adv =,just,solo,,,,
muira,muira,: n =,key,chiave,,,,
yakashina,jakaʃina,: adj =,Kind,gentile,,,,
koːndas,koːndas,: n =,king,re,,,,
namoa,namoa,: n =,kiss,bacio,,,,
subuno,subuno,: n =,kiwi,kiwi,,,,
neheri,neheri,: n =,knee,ginocchio,,,,
mafu,mafu,: n =,Lady,signora,,,,
shakui,ʃakui,: n =,lake,lago,,,,
chakuryuku,ʧakurjuku,: n =,landing,atterraggio,,,,
kusube,kusube,: n =,larch,larice,,,,
indawose,indawose,: adv =,last year,l'anno scorso,,,,
naru,naru,: adv =,late,tardi,,,,
anuha,anuha,: adv =,lately,recentemente,,,,
hahanari,hahanari,: n =,laugh,risata,,,,
natsu,naʦu,: n =,lawn,prato,,,,
igerosu,igerosu,: v =,learn,imparare,,,,
yadasu,jadasu,: v =,leave,lasciare,,,,
semodo,semodo,: n =,left,sinistra,,,,
huinnon,huinnon,: n =,leg,gamba,,,,
seoma,seoma,: n =,lemon,limone,,,,
mare,mare,: n =,length,larghezza,,,,
rigo,rigo,: n =,lens,lente,,,,
tulensu,tulensu,: v =,let it slip away,lasciar scappare,,,,
ozaluha,ozaluha,: n =,letter,lettera,,,,
roomatoya,roomatoja,: n =,liar,bugiardo,,,,
rooma,rooma,: n =,lie,bugia,,,,
asahi,asahi,: n =,life,vita,,,,
nitsos,niʦos,: n =,light,luce,,,,
iruna,iruna,: adj =,light (weight),leggero,,,,
sasatsai,sasaʦai,: n =,lightning,fulmine,,,,
tobi,tobi,: adv =,Like this,così,,,,
sasumi,sasumi,: n =,lily,giglio,,,,
resso,resso,: n =,link,legame,,,,
danshe,danʃe,: n =,lip,labbra,,,,
garochina,gaoruʧina,: adj =,"lively, lively","animato, movimentato",,,,
katsepo,kaʦepo,: n =,liver,fegato,,,,
Londun,Londun,: n =,London,Londra,,,,
rekena,rekena,: adj =,long,lungo,,,,
Lozeinjeles,Lozeinʤeles,: n =,Los Angeles,Los Angeles,,,,
saison,saison,: n =,Love,amore,,,,
sosana,sosana,: adj =,low,basso,,,,
chokomana,ʧokomana,: n =,lunch,pranzo,,,,
takama,takama,: n =,machine,macchina,,,,
manloovi,manloovi,: n =,mangrove,mangrovia,,,,
tasun,tasun,: adv =,many,tanti,,,,
nadakari,nadakari,: adv =,many times,tante volte,,,,
hiiloke,hiiloke,: n =,maple,acero,,,,
tsakko,ʦakko,: n =,margherita pizza,margherita,,,,
keskon,keskon,: n =,marriage,matrimonio,,,,
seri odennenasu,seri odennenasu,: v =,"maybe, I think...","forse, mi sa...",,,,
pinohā,pinohaː,: n =,meal,pasto,,,,
kori,kori,: n =,meal,pasto,飯,,,
teryo,terjo,: n =,meat,carne,,,,
kaiwi,kaiwi,: n =,meeting,riunione,,,,
gunyun,gunjun,: n =,milk,latte,,,,
motoe,motoe,: n =,mirror,specchio,,,,
inzettu,inzettu,: adj =,misaligned,disallineato,,,,
seitsakku,seiʦakku,: n =,moment between the dawns of two suns,momento fra le albe di due soli,,,,
samuo,samuo,: n =,money,denaro,,,,
huka,huka,: n =,mongoose,mangusta,,,,
munuta,munuta,: n =,monkey,scimmia,,,,
meki,meki,: n =,month,mese,,,,
allaizhi,allaizhi,: n =,morning,mattina,,,,
iima,iːma,: n =,mother,madre,,,,
moha,moha,: n =,mother,madre,,,,
samo,samo,: n =,mountain,montagna,,,,
atsiri,atsiri,: n =,mouse,topo,,,,
niswae,niswae,: n =,mouth,bocca,,,,
ðikihasu,ʤikihasu,: v =,move,muovere,,,,
ðikihausu,ʤikihausu,: v =,move (intr),muoversi (intr),,,,
tana,tana,: n =,Mr,signor,,,,
tapuha,tapuha,: n =,mulberry,gelso,,,,
shintsa,ʃinʦa,: n =,nail,unghia,,,,
nainūku,nainuːku,: n =,nainuk (wolf-like animal),nainuk (animale simile a un lupo),,,,
hatakana,hatakana,: adj =,naked,nudo,,,,
nakori,nakori,: n =,name,nome,,,,
askashi,askaʃi,: n =,nation,nazione,,,,
haikana,haikana,: adj =,near,vicino,,,,
saisa,saisa,: n =,neck,collo,,,,
saisatamu,saisatamu,: n =,necklace,collana,,,,
tuite,tuite,: n =,"needle, lancet","ago, lancetta",,,,
etee(su),etee(su),: adv =,neither,nemmeno,,,,
hanki,hanki,: n =,nest,nido,,,,
estinhen,estinhen,: adv =,never,mai,,,,
muukin,muukin,: conj =,nevertheless,eppure,,,,
suyona,sujona,: adj =,new,nuovo,,,,
karana,karana,: adj =,next,next,,,,
karana,karana,: adj =,next,prossimo,,,,
sowose,sowose,: adv =,next year,l'anno prossimo,,,,
nansha,nanʃa,: n =,Night,notte,,,,
taguken,taguken,: num =,nine,nove,,,,
nagahen,nagahen,: pron =,Nobody,nessuno,,,,
souon,souon,: n =,noise,rumore,,,,
romo,romo,: n =,nose,naso,,,,
kuminona,kuminona,: adj =,nostalgic,nostalgico,,,,
eniin,eniin,: adv =,not anymore,non più,,,,
nashehen,naʃehen,: adv =,Nothing,niente,,,,
eno,eno,: n =,now,ora/adesso,,,,
nokada,nokada,: n =,number,numero,,,,
tasuna,tasuna,: adj =,numerous,numeroso,,,,
ekada,ekada,: n =,oak,quercia,,,,
shinuso,ʃinuso,: n =,oak,rovere,,,,
uzamusu,uzamusu,: v =,obey,obbedire,,,,
ilmena,ilmena,: adj =,obvious,ovvio,,,,
hoboi,hoboi,: n =,odor,odore,,,,
tsahena,ʦahena,: adj =,old,vecchio,,,,
nutari,nutari,: n =,olive,oliva,,,,
nulle,nulle,: n =,on me,addosso,,,,
sokko,sokko,: n =,contrary,contrario,,,,
tahhan,tahhan,: n =,onion,cipolla,,,,
riikke,ri:kke,: adv =,only,solo,,,,
shiote,ʃiote,: n =,"opposite, contrary","opposto, contrario",,,,
ko,ko,: conj =,or,o,,,,
konae,konae,: conj =,or,oppure,,,,
isaka,isaka,: n =,orange,arancio,,,,
tuhna,tuhna,: n =,orchid,orchidea,,,,
buneiho,buneiho,: n =,ostrich,struzzo,,,,
nazae,nazae,,other,altro,,,,
togu,togu,: n =,out,fuori,,,,
pailo,pailo,: n =,oven,forno,,,,
sanso,sanso,: n =,oxygen,ossigeno,,,,
sainagena,sainagena,: adj =,Pacific,pacifico,,,,
erko,erko,: n =,pain,dolore,,,,
nokuja,nokuja,: n =,"painting, picture","quadro, dipinto",,,,
habena,habena,: n =,palm,palma,,,,
kanmake,kanmake,: n =,palm of the hand,palmo della mano,,,,
kamonmakke,kamonmakke,: n =,palm of the hand,palmo della mano,,,,
luhanne,luhanne,: n =,paper,carta,,,,
washika,waʃika,: n =,parent,genitore,,,,
Pariː,Pariː,: n =,Paris,Parigi,,,,
kōwen,koːwen,: n =,park,parco,,,,
chushajān,ʧuːʃaʤaː,: n =,parking,parcheggio,,,,
uirape,uirape,: n =,party,festa,,,,
mennesu,mennesu,: n =,past,passato,,,,
baji,baʤi,: n =,paulownia,paulonia,,,,
istori,istori,: n =,payment,pagamento,,,,
saina,saina,: n =,peace,pace,,,,
mochana,moʧana,: n =,peach,pesca,,,,
yoshi,joʃi,: n =,peak,picco,,,,
shaki,ʃaki,: n =,pebble,sasso,,,,
senno,senno,: n =,pelican,pellicano,,,,
kijonho,kiʤonho,: n =,pelvis,bacino,,,,
chundzo,ʧunʣo,: n =,pepper,pepe,,,,
twoku,twoku,: n =,perfume,profumo,,,,
ajira,aʤira,: adv =,Perhaps,forse,,,,
